"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"inv(16)"	"PHF6"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"inv(16)"	"KIT"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"FLT3"	"TP53"	36	33	6	1	0.185212708350905	0.122222089266374	-1.68625033951896	0.91285029671583	1
"BCOR"	"NPM1"	49	0	25	2	Inf	0.123157894736842	Inf	0.909537743542686	1
"ETV6"	"FLT3"	38	4	34	0	0	0.123389777665192	-Inf	0.908720818321347	1
"IDH2"	"JAK2"	66	9	0	1	Inf	0.131578947368421	Inf	0.880813592280792	1
"ASXL1"	"TBL1XR1"	65	10	0	1	Inf	0.144736842105263	Inf	0.839420907122567	1
"ASXL1"	"chr5qdel"	65	10	0	1	Inf	0.144736842105263	Inf	0.839420907122567	1
"ASXL1"	"chr22gain"	65	10	0	1	Inf	0.144736842105263	Inf	0.839420907122567	1
"CBL"	"IDH1"	70	2	3	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"IDH1"	"SF3B1"	70	3	2	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"CBL"	"EZH2"	70	2	3	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"NOTCH1"	"SF3B1"	70	3	2	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"NOTCH1"	"RUNX1"	70	3	2	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"ETV6"	"t(8;21)"	70	3	2	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"inv(16)"	"NOTCH1"	70	2	3	1	10.7316334097752	0.151635846372688	2.37319577336788	0.819198120329272	1
"FLT3"	"IDH2"	34	32	8	2	0.269826522012308	0.17031609242034	-1.30997603754798	0.768744315518486	1
"MYC"	"TP53"	68	1	6	1	10.5696289378455	0.176842105263158	2.35798469404792	0.752414323562985	1
"NF1"	"TP53"	68	1	6	1	10.5696289378455	0.176842105263158	2.35798469404792	0.752414323562985	1
"chr11qdel"	"TP53"	68	1	6	1	10.5696289378455	0.176842105263158	2.35798469404792	0.752414323562985	1
"chr13gain"	"TP53"	68	1	6	1	10.5696289378455	0.176842105263158	2.35798469404792	0.752414323562985	1
"chr21gain"	"TP53"	68	1	6	1	10.5696289378455	0.176842105263158	2.35798469404792	0.752414323562985	1
"EZH2"	"TET2"	58	2	14	2	4.04098003202703	0.19316042791169	1.39648724473967	0.714081841170429	1
"EZH2"	"IDH1"	69	3	3	1	7.23238845200722	0.19812155342076	1.97856933459086	0.703068275483548	1
"ETV6"	"NOTCH1"	69	3	3	1	7.23238845200722	0.19812155342076	1.97856933459086	0.703068275483548	1
"EZH2"	"NOTCH1"	69	3	3	1	7.23238845200722	0.19812155342076	1.97856933459086	0.703068275483548	1
"ABL1"	"WT1"	67	1	7	1	9.01982106347074	0.200701754385965	2.19942449612507	0.697448831215486	1
"PTEN"	"TET2"	60	0	15	1	Inf	0.210526315789474	Inf	0.676693609624866	1
"TBL1XR1"	"TET2"	60	0	15	1	Inf	0.210526315789474	Inf	0.676693609624866	1
"ASXL1"	"TET2"	53	7	12	4	2.48737240173634	0.229442001368867	0.911226892950551	0.639327077746672	1
"IDH2"	"SRSF2"	65	9	1	1	6.90403960860785	0.247368421052632	1.93210669081679	0.606655743017111	1
"FLT3"	"PHF6"	39	34	3	0	0	0.248421052631579	-Inf	0.604811602318741	1
"FLT3"	"KIT"	39	34	3	0	0	0.248421052631579	-Inf	0.604811602318741	1
"FLT3"	"t(8;21)"	39	34	3	0	0	0.248421052631579	-Inf	0.604811602318741	1
"FLT3"	"inv(16)"	39	34	3	0	0	0.248421052631579	-Inf	0.604811602318741	1
"ASXL1"	"SRSF2"	64	10	1	1	6.14966125172966	0.270175438596492	1.81639699928184	0.568354134836027	1
"ASXL1"	"ZRSR2"	64	10	1	1	6.14966125172966	0.270175438596492	1.81639699928184	0.568354134836027	1
"ASXL1"	"chr21gain"	64	10	1	1	6.14966125172966	0.270175438596492	1.81639699928184	0.568354134836027	1
"NPM1"	"SF3B1"	48	25	1	2	3.76782598516601	0.286258890469417	1.3264981733669	0.543241016366113	1
"CBL"	"WT1"	66	2	7	1	4.55623074257326	0.287112375533428	1.51649569017018	0.541948087510306	1
"SF3B1"	"WT1"	66	2	7	1	4.55623074257326	0.287112375533428	1.51649569017018	0.541948087510306	1
"EZH2"	"NPM1"	45	4	27	0	0	0.290536448488864	-Inf	0.536799376579574	1
"NOTCH1"	"NPM1"	45	4	27	0	0	0.290536448488864	-Inf	0.536799376579574	1
"DNMT3A"	"KRAS"	53	22	0	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"DNMT3A"	"SETBP1"	53	22	0	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"DNMT3A"	"STAG2"	53	22	0	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"BIRC3"	"DNMT3A"	53	0	22	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"DNMT3A"	"RAD21"	53	22	0	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"CDKN2A"	"DNMT3A"	53	0	22	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"chr22gain"	"DNMT3A"	53	0	22	1	Inf	0.302631578947369	Inf	0.519085756263198	1
"IDH1"	"TP53"	66	3	6	1	3.56948336951183	0.326174711120637	1.27242087089695	0.486549713579337	1
"EZH2"	"TP53"	66	3	6	1	3.56948336951183	0.326174711120637	1.27242087089695	0.486549713579337	1
"ETV6"	"TP53"	66	3	6	1	3.56948336951183	0.326174711120637	1.27242087089695	0.486549713579337	1
"ASXL1"	"WT1"	59	9	6	2	2.15767863227641	0.326179668565333	0.769032936504671	0.486543112900494	1
"TET2"	"TP53"	53	16	7	0	0	0.333816548557046	-Inf	0.476492137492412	1
"IDH2"	"PHF6"	64	9	2	1	3.46882540249782	0.349075391180654	1.24381603593338	0.457080766628839	1
"IDH2"	"KIT"	64	9	2	1	3.46882540249782	0.349075391180654	1.24381603593338	0.457080766628839	1
"chr8gain"	"IDH2"	64	2	9	1	3.46882540249784	0.349075391180654	1.24381603593338	0.457080766628839	1
"NPM1"	"SETBP1"	49	26	0	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"NPM1"	"STAG2"	49	26	0	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"BIRC3"	"NPM1"	49	0	26	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"NPM1"	"POT1"	49	26	0	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"NPM1"	"TBL1XR1"	49	26	0	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"chr22gain"	"NPM1"	49	0	26	1	Inf	0.355263157894737	Inf	0.449449828121804	1
"EZH2"	"WT1"	65	3	7	1	3.02864988784907	0.365237046707847	1.10811693865235	0.437425177564944	1
"ASXL1"	"CBL"	63	10	2	1	3.0839516578425	0.378662873399715	1.12621178042988	0.421747273881168	1
"SRSF2"	"TET2"	59	1	15	1	3.84057306305653	0.378947368421053	1.34562159063615	0.42142110452156	1
"TET2"	"ZRSR2"	59	15	1	1	3.84057306305651	0.378947368421052	1.34562159063614	0.421421104521561	1
"BCOR"	"TET2"	59	1	15	1	3.84057306305653	0.378947368421053	1.34562159063615	0.42142110452156	1
"IDH2"	"NRAS"	63	9	3	1	2.29959633984162	0.438243145813441	0.832733603115715	0.358284867609932	1
