A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
RUNX1	t(16;16)	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	CBL	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	MYCN	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	BRAF	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	U2AF1	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	U2AF1	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	U2AF1	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	HNRNPK	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	HNRNPK	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	HNRNPK	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr22gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr22gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr22gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr22gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr22gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
chr11qdel	t(11;19)	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
chr11qdel	chr5loss	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	chr13gain	177	2	3	0	<-3	1.000	1.000	Mutual exclusivity
TET2	KIT	135	36	9	2	-0.263	1.000	1.000	Mutual exclusivity
TET2	BCORL1	135	36	9	2	-0.263	1.000	1.000	Mutual exclusivity
ATM	PHF6	168	7	7	0	<-3	1.000	1.000	Mutual exclusivity
ATM	BCOR	168	7	7	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	BCOR	168	7	7	0	<-3	1.000	1.000	Mutual exclusivity
TET2	MYC	140	37	4	1	-0.080	1.000	1.000	Mutual exclusivity
TET2	EZH2	140	37	4	1	-0.080	1.000	1.000	Mutual exclusivity
TET2	JAK2	140	37	4	1	-0.080	1.000	1.000	Mutual exclusivity
CDH2	CBL	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	MYCN	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	BRAF	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CBL	BIRC3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	BIRC3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	BIRC3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	MYD88	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	MYD88	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	MYD88	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	NOTCH2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	NOTCH2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	NOTCH2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	U2AF2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	U2AF2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	U2AF2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	GATA2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	GATA2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	GATA2	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	U2AF1	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	HNRNPK	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CBL	RIT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	RIT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	RIT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	RIT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	RIT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	ABL1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	ABL1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	ABL1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	ABL1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	ABL1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	BRINP3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	BRINP3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	BRINP3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	BRINP3	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	PRPF40B	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	PRPF40B	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	PRPF40B	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	PRPF40B	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	PRPF40B	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	POT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	POT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	POT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	POT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	POT1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	FBXW7	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	FBXW7	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	FBXW7	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	FBXW7	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	FBXW7	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	IL7R	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	IL7R	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	IL7R	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	IL7R	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	IL7R	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	TBL1XR1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	TBL1XR1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	TBL1XR1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	TBL1XR1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	TBL1XR1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	SF1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	SF1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	SF1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	SF1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	SF1	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CBL	t(16;16)	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	t(16;16)	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	t(16;16)	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	t(16;16)	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	t(16;16)	178	3	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
POT1	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr22gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
POT1	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SF1	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	t(11;19)	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
POT1	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr5loss	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
POT1	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr13gain	178	1	3	0	<-3	1.000	1.000	Mutual exclusivity
TET2	t(8;21)	139	37	5	1	-0.412	1.000	1.000	Mutual exclusivity
TET2	chr21gain	139	37	5	1	-0.412	1.000	1.000	Mutual exclusivity
TP53	WT1	157	13	12	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	MAP2K1	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	SETBP1	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	BIRC3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	BIRC3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	BIRC3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	MYD88	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	MYD88	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	MYD88	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	NOTCH2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	NOTCH2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	NOTCH2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	U2AF2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	U2AF2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	U2AF2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	GATA2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	GATA2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	GATA2	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	RIT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	RIT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	RIT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	PTEN	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	ABL1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	ABL1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	ABL1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	ABL1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	BRINP3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	BRINP3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	BRINP3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	BRINP3	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	CDKN2A	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	PRPF40B	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	PRPF40B	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	PRPF40B	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	PRPF40B	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	POT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	POT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	POT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	POT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	POT1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	FBXW7	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	FBXW7	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	FBXW7	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	FBXW7	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	FBXW7	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	IL7R	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	IL7R	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	IL7R	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	IL7R	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	IL7R	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	TBL1XR1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	TBL1XR1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	TBL1XR1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	TBL1XR1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	TBL1XR1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	SF1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	SF1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	SF1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	SF1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	SF1	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	t(16;16)	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	t(16;16)	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	t(16;16)	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	t(16;16)	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	t(16;16)	179	2	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
POT1	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
SF1	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	t(15;17)	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
POT1	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr11qdel	179	1	2	0	<-3	1.000	1.000	Mutual exclusivity
WT1	BIRC3	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	MYD88	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	NOTCH2	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	U2AF2	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	RIT1	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	ABL1	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	BRINP3	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	PRPF40B	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	POT1	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	FBXW7	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	IL7R	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	TBL1XR1	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	SF1	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
WT1	t(16;16)	169	12	1	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	TP53	167	2	13	0	<-3	1.000	1.000	Mutual exclusivity
TP53	MAP2K1	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	RUNX1	167	2	13	0	<-3	1.000	1.000	Mutual exclusivity
TP53	SETBP1	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	SETBP1	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
TP53	PTEN	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	PTEN	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
TP53	CDKN2A	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	CDKN2A	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
TP53	t(15;17)	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	t(15;17)	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	chr11qdel	167	13	2	0	<-3	1.000	1.000	Mutual exclusivity
KIT	IDH1	161	11	10	0	<-3	1.000	1.000	Mutual exclusivity
KIT	STAG2	161	11	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	BCORL1	161	10	11	0	<-3	1.000	1.000	Mutual exclusivity
BCORL1	KRAS	161	11	10	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	PTPN11	164	10	8	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	PTPN11	164	10	8	0	<-3	1.000	1.000	Mutual exclusivity
NPM1	IDH1	117	55	7	3	-0.133	1.000	1.000	Mutual exclusivity
NPM1	STAG2	117	55	7	3	-0.133	1.000	1.000	Mutual exclusivity
DNMT3A	KRAS	117	55	7	3	-0.133	1.000	1.000	Mutual exclusivity
NPM1	KRAS	117	55	7	3	-0.133	1.000	1.000	Mutual exclusivity
