A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
MYD88	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
POT1	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
SF1	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	t(16;16)	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
t(8;21)	t(16;16)	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
POT1	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
