"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"RUNX1"	"t(11;19)"	114	4	1	0	0	1	-Inf	0	1
"ATM"	"t(8;21)"	114	4	1	0	0	1	-Inf	0	1
"RUNX1"	"t(8;21)"	114	4	1	0	0	1	-Inf	0	1
"ATM"	"chr5qdel"	114	4	1	0	0	1	-Inf	0	1
"chr5qdel"	"RUNX1"	114	1	4	0	0	1	-Inf	0	1
"FLT3"	"TP53"	105	9	5	0	0	1	-Inf	0	1
"DNMT3A"	"FLT3"	82	28	7	2	0.837947635124237	1	-0.176799668371077	0	1
"CDH2"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"CDH2"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"CDH2"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"BIRC3"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"SF3B1"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"CDH2"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"BRINP3"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"BRINP3"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"SF3B1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"SMC1A"	"WT1"	117	1	1	0	0	1	-Inf	0	1
