A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
NF1	TP53	113	1	4	1	>3	0.083	1.000	Co-occurrence
DNMT3A	TET2	76	21	13	9	1.325	0.100	1.000	Co-occurrence
BIRC3	IDH2	106	0	12	1	>3	0.109	1.000	Co-occurrence
IDH2	MYD88	106	12	0	1	>3	0.109	1.000	Co-occurrence
IDH2	MPL	106	12	0	1	>3	0.109	1.000	Co-occurrence
DNMT3A	SRSF2	80	30	9	0	<-3	0.110	1.000	Mutual exclusivity
STAG2	TP53	112	2	4	1	>3	0.122	1.000	Co-occurrence
ASXL1	BIRC3	104	14	0	1	>3	0.126	1.000	Co-occurrence
ASXL1	MYD88	104	14	0	1	>3	0.126	1.000	Co-occurrence
ASXL1	NOTCH1	104	14	0	1	>3	0.126	1.000	Co-occurrence
ASXL1	MPL	104	14	0	1	>3	0.126	1.000	Co-occurrence
FLT3	MYC	109	8	1	1	>3	0.146	1.000	Co-occurrence
CDKN2A	FLT3	109	1	8	1	>3	0.146	1.000	Co-occurrence
FLT3	U2AF1	109	8	1	1	>3	0.146	1.000	Co-occurrence
FLT3	MYCN	109	8	1	1	>3	0.146	1.000	Co-occurrence
FLT3	ZRSR2	109	8	1	1	>3	0.146	1.000	Co-occurrence
ASXL1	TET2	87	10	17	5	1.355	0.150	1.000	Co-occurrence
SF3B1	TET2	97	0	21	1	>3	0.185	1.000	Co-occurrence
BRINP3	TET2	97	0	21	1	>3	0.185	1.000	Co-occurrence
SMC1A	TET2	97	0	21	1	>3	0.185	1.000	Co-occurrence
FLT3	TET2	88	9	22	0	<-3	0.207	1.000	Mutual exclusivity
IDH2	NPM1	105	12	1	1	>3	0.207	1.000	Co-occurrence
IDH2	NRAS	105	12	1	1	>3	0.207	1.000	Co-occurrence
IDH2	NF1	105	12	1	1	>3	0.207	1.000	Co-occurrence
chr8gain	IDH2	105	1	12	1	>3	0.207	1.000	Co-occurrence
BCOR	SRSF2	108	2	8	1	2.755	0.212	1.000	Co-occurrence
SRSF2	STAG2	108	8	2	1	2.755	0.212	1.000	Co-occurrence
ASXL1	IDH1	103	14	1	1	2.879	0.237	1.000	Co-occurrence
ASXL1	JAK2	103	14	1	1	2.879	0.237	1.000	Co-occurrence
ASXL1	CBL	103	14	1	1	2.879	0.237	1.000	Co-occurrence
ASXL1	ZRSR2	103	14	1	1	2.879	0.237	1.000	Co-occurrence
ASXL1	chr8gain	103	14	1	1	2.879	0.237	1.000	Co-occurrence
BRINP3	DNMT3A	89	0	29	1	>3	0.252	1.000	Co-occurrence
DNMT3A	FBXW7	89	29	0	1	>3	0.252	1.000	Co-occurrence
ATM	FLT3	107	3	8	1	2.157	0.273	1.000	Co-occurrence
IDH2	STAG2	104	12	2	1	2.115	0.295	1.000	Co-occurrence
BCOR	IDH2	104	2	12	1	2.115	0.295	1.000	Co-occurrence
SRSF2	TP53	106	8	4	1	1.728	0.330	1.000	Co-occurrence
ASXL1	BCORL1	102	14	2	1	1.865	0.335	1.000	Co-occurrence
IDH1	TET2	96	1	21	1	2.193	0.337	1.000	Co-occurrence
JAK2	TET2	96	1	21	1	2.193	0.337	1.000	Co-occurrence
NPM1	TET2	96	1	21	1	2.193	0.337	1.000	Co-occurrence
TET2	U2AF1	96	21	1	1	2.193	0.337	1.000	Co-occurrence
chr8gain	TET2	96	1	21	1	2.193	0.337	1.000	Co-occurrence
ASXL1	DNMT3A	76	13	28	2	-1.260	0.350	1.000	Mutual exclusivity
ASXL1	RUNX1	101	14	3	1	1.266	0.421	1.000	Co-occurrence
DNMT3A	IDH1	88	29	1	1	1.601	0.442	1.000	Co-occurrence
DNMT3A	MYC	88	29	1	1	1.601	0.442	1.000	Co-occurrence
