"gene"	"beta_TET2_vs_ASXL1"	"lowCI"	"hiCI"	"pval"
"KRAS"	"0.27603429115002"	"-0.622624319762477"	"1.45665662007487"	"0.565005077782223"
"chr21gain"	"-0.323313582460568"	"-1.60827688234461"	"0.960940399787778"	"0.590695115148632"
"inv.16."	"-0.323313582460568"	"-1.60827688234461"	"0.960940399787781"	"0.590695115148632"
"MYC"	"-0.323313582460568"	"-1.60827688234461"	"0.96094039978778"	"0.590695115148632"
"t.8.21."	"-0.323313582460568"	"-1.60827688234461"	"0.960940399787781"	"0.590695115148632"
"ZRSR2"	"-0.323313582460569"	"-1.60827688234461"	"0.960940399787781"	"0.590695115148634"
"BCOR"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031737"	"0.749622391484567"
"BRAF"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031737"	"0.749622391484567"
"chr13gain"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031744"	"0.749622391484567"
"chr22gain"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031736"	"0.749622391484567"
"chr7loss"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031737"	"0.749622391484567"
"chr7qdel"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031737"	"0.749622391484567"
"CSF1R"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031741"	"0.749622391484567"
"IL7R"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031738"	"0.749622391484567"
"JAK2"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031735"	"0.749622391484567"
"POT1"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031738"	"0.749622391484567"
"PTEN"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031744"	"0.749622391484567"
"PTPN11"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031736"	"0.749622391484567"
"SF3B1"	"0.255412811882996"	"-1.23740661093064"	"2.75790650031741"	"0.749622391484567"
"ABL1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"ATM"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"BCORL1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"BRINP3"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"CDH2"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"CDKN2A"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"chr11qdel"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"chr17loss"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"chr5loss"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"CSF3R"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"EZH2"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"FBXW7"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"GATA2"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"HNRNPK"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"MAP2K1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"MPL"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"MYCN"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"NOTCH2"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"PHF6"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"PRPF40B"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"RIT1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"SETBP1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
"SF1"	"-0.309519604174134"	"-2.92890442336516"	"2.30977069752733"	"0.761180610731966"
